len,naive,RK,BM,KMP,python
58,21337337.699999962,12437544.199999977,16009.900000000001,7438191.0000000065,18004.600000000006
59,21579465.600000013,12504028.600000013,12991.400000000003,7538853.799999999,11949.900000000003
60,22058076.599999998,12839031.399999995,22240.399999999998,7655825.000000002,10983.700000000023
61,21852597.200000007,12740100.399999993,21004.90000000004,7669306.800000006,16011.600000000008
62,21608071.2,12558606.700000003,32113.49999999997,7481744.499999995,10987.900000000012
63,21684280.399999972,12626791.599999998,15997.3,7596398.300000005,15988.699999999984
64,21605460.10000002,12553915.999999981,14007.7,7526840.5,19072.7
65,21536905.400000002,12533097.199999988,12984.80000000002,7523816.600000008,8014.600000000004
66,21755632.100000013,12662000.19999999,17990.200000000008,7620129.000000003,17009.199999999983
67,21854517.60000005,12736778.000000002,23898.19999999998,7641752.599999997,15019.800000000014
68,21521934.100000024,12519712.600000005,22903.400000000005,7497605.899999994,14020.399999999996
69,21630306.09999996,12591973.00000002,17999.6,7543761.499999997,15020.699999999986
70,21713312.100000028,12662782.399999995,22066.2,7538868.5000000065,16017.70000000002
71,21358222.700000014,12439503.399999987,14998.100000000015,7450005.300000002,15989.699999999995
72,21802882.20000002,12678834.30000001,25216.300000000007,7590123.599999992,15051.999999999996
73,21419952.399999976,12466477.1,24012.00000000002,7456042.699999998,7002.099999999997
74,21812047.899999917,12711592.600000026,23000.300000000017,7620594.500000009,10996.199999999995
75,21913333.79999999,12775490.299999986,23921.800000000054,7627049.099999999,13007.000000000002
76,21633664.700000003,12572493.599999994,20436.40000000003,7578186.100000001,16009.000000000004
77,21565101.79999996,12572299.299999993,21819.1,7544831.2,9008.800000000001
78,21534813.40000002,12543474.300000004,28991.800000000032,7486612.899999996,15006.800000000021
79,21470306.000000015,12532442.599999996,29001.499999999967,7493058.700000003,9019.699999999992
80,21727078.69999999,12706815.999999989,21994.500000000007,7603474.900000003,14004.500000000013
81,21636449.400000032,12598561.500000015,22993.899999999998,7545677.999999997,9008.300000000003
82,20737435.099999987,12059837.50000001,27993.799999999992,7263392.000000002,11998.20000000001
83,21554181.599999987,12515917.600000001,18005.10000000001,7517599.899999996,9887.500000000004
84,22580530.500000034,13091852.199999986,25019.89999999998,7827201.100000006,13999.499999999996
85,21889502.099999983,12741800.50000002,30998.699999999975,7608995.100000002,9997.999999999987
86,21735489.999999993,12621425.899999982,29982.500000000022,7557706.3000000045,15971.500000000011
87,21893207.199999973,12713629.100000007,29863.79999999999,7639392.299999992,11041.89999999999
88,21691220.400000006,12639151.899999991,26004.099999999988,7557628.200000004,10001.999999999982
89,22060274.60000001,12807079.59999999,29025.39999999999,7677043.700000004,11980.599999999991
90,20505936.400000002,11949274.299999995,22844.00000000001,7195387.600000006,12019.500000000018
91,21367133.2,12400897.099999992,31983.799999999996,7421490.800000005,10620.200000000004
92,21346499.899999984,12361537.099999987,33760.89999999999,7443071.099999999,15033.599999999995
93,21278848.200000014,12329326.99999998,22027.100000000002,7421242.400000004,13008.099999999991
94,21513170.299999975,12532646.00000001,27040.800000000003,7536830.9,8972.7
95,21209367.000000022,12296159.0,21002.80000000003,7401053.400000001,13008.199999999984
96,21130695.80000005,12268051.099999998,32028.19999999999,7367880.400000009,10020.6
97,21863082.9,12676553.80000001,29177.699999999964,7620590.299999995,9008.499999999998
98,21652296.399999995,12537494.600000009,24045.899999999972,7571750.9,9001.999999999998
99,21587709.699999977,12532556.89999999,37019.00000000008,7503382.699999998,17998.79999999999
100,21477157.100000028,12483963.2,28988.199999999983,7518068.599999998,9107.700000000012
101,21470641.499999966,12489653.499999994,44887.19999999995,7482509.600000009,9989.300000000005
102,22357825.400000002,12982005.400000012,19987.100000000017,7808509.999999988,15956.800000000012
103,21525061.400000002,12499098.8,29029.89999999999,7475970.500000004,2000.4999999999977
104,21522995.99999997,12505858.40000001,23176.800000000014,7513653.999999995,10820.900000000007
