len,naive,RK,BM,KMP,python
31,54693.84000000013,35936.43000000011,9375.55999999999,25003.009999999995,1562.630000000007
32,51564.480000000054,32783.49999999988,9404.149999999992,31255.029999999933,0.0
33,39064.41000000024,48444.16000000006,7812.999999999982,28125.520000000008,0.0
34,51565.01999999994,42191.83000000001,12498.760000000011,23439.169999999947,1562.5999999999942
35,35939.610000000226,57821.000000000175,10938.079999999958,23434.89000000011,0.0
36,50047.18999999993,39065.65999999997,17146.639999999985,25000.700000000008,0.0
37,48440.610000000044,35938.330000000184,14063.500000000031,31252.43999999988,0.0
38,54691.27999999986,42192.0899999999,4687.759999999996,28125.049999999927,1562.5700000000081
39,57838.009999999806,39047.16000000007,9357.35999999996,25017.719999999976,0.0
40,59375.1499999999,23439.83000000006,9373.690000000002,37509.54000000004,1562.6599999999955
41,46879.75999999989,40627.44999999996,15626.160000000003,29688.04000000003,1562.5900000000147
42,39063.53999999992,48444.30999999999,9375.660000000007,35940.02000000008,1560.4499999999944
43,57827.090000000055,34368.229999999916,15628.889999999987,24997.22000000006,1562.5799999999886
44,68035.03999999966,29668.190000000006,13112.24000000001,26720.29999999998,0.0
45,57814.86000000001,35963.30000000009,14063.520000000053,28144.93999999993,1.8799999999999897
46,60943.07999999991,32813.37000000007,12500.880000000057,28126.609999999848,0.0
47,50466.78999999993,43757.879999999954,18770.389999999952,25022.750000000073,0.0
48,48455.020000000186,48440.610000000015,17188.629999999877,18751.270000000022,0.0
49,53127.33000000006,34377.25000000001,10939.299999999987,35938.210000000014,0.0
50,51568.91999999984,48439.6299999998,12488.979999999981,25011.680000000066,0.0
51,37886.669999999904,50306.23999999984,14283.339999999936,38548.86999999999,0.0
52,53365.010000000126,34268.769999999895,15561.79000000004,34887.65999999996,199.64999999999924
53,51592.689999999835,37480.37000000003,18776.109999999953,31221.919999999925,0.0
54,38153.47000000019,47039.17999999992,7914.6200000000335,44097.090000000084,0.0
55,39673.86000000008,37996.379999999794,9576.330000000044,48824.130000000056,1562.5799999999886
56,60964.449999999844,42183.33000000005,14063.309999999958,21874.46999999995,1561.1199999999994
57,58098.78999999993,25216.430000000066,14356.83000000006,37804.47999999999,0.0
58,48438.40000000007,31253.860000000026,15615.039999999946,48452.33999999996,0.0
59,48440.65999999997,43750.41999999998,10957.739999999965,32796.22000000005,1563.1500000000026
60,40630.179999999804,34391.33999999998,24996.650000000096,40616.72000000001,0.0
61,48483.530000000035,49046.62999999988,16225.959999999934,27728.319999999898,1562.6100000000124
62,48886.81000000008,34019.50999999991,22289.010000000006,38026.06000000002,1520.750000000001
