len,naive,RK,BM,KMP,python
32,21448553.0,13006641.000000004,12579529.0,12712042.999999996,10016.999999999996
33,22015256.0,12934896.000000004,13123374.999999998,12866117.000000002,19956.999999999993
34,24620692.999999985,14446299.999999996,14628787.000000004,14446173.999999998,0.0
35,26078178.999999993,15245428.999999998,15263905.999999998,15360859.999999994,0.0
36,23145451.000000004,13539465.999999996,13584571.000000004,13662167.0,9893.999999999998
37,26929146.999999996,15734091.000000002,15762089.000000004,15793863.000000002,10029.0
38,25064563.999999993,14656264.999999996,14719976.000000002,14656707.000000004,29887.00000000001
39,23515792.000000004,13709108.000000002,13796702.000000002,13806026.999999998,10003.000000000002
40,23287832.00000001,13620903.999999998,13612769.999999998,13692707.999999998,10001.999999999998
41,23529054.000000007,13789251.000000004,13752188.999999996,13748054.000000002,10002.000000000002
42,22943805.99999999,13469637.000000002,13495308.999999996,13396762.999999996,30015.0
43,23660881.000000004,13748306.000000002,13920369.0,13865165.0,10003.0
44,27387449.0,16083568.0,16112112.000000002,16063503.999999998,20002.999999999996
45,23678737.000000007,13838458.999999996,13863540.000000004,13854213.0,29900.999999999996
46,27296007.999999996,15886437.999999998,15948707.999999998,15898061.999999998,20006.0
47,26527343.000000004,15590349.999999994,15481138.0,15553209.0,10027.999999999998
48,22605746.0,13164606.0,13152017.000000004,13148294.000000002,10001.999999999998
49,22691347.000000004,13222043.0,13189680.000000006,13303447.999999998,0.0
50,22857323.999999996,13602910.000000004,13423573.999999994,13559490.0,19253.0
51,23686784.000000004,13910672.999999996,13928617.000000004,13845216.999999998,10003.0
52,27515109.99999999,16226668.0,16256216.000000007,16162148.000000002,0.0
53,27596981.000000004,16188533.999999996,16139912.999999998,16193633.999999998,0.0
54,24385427.000000007,14354888.0,14408731.000000002,14276777.000000004,30008.000000000004
55,25036593.000000004,14516487.000000004,14526570.999999998,14583233.0,0.0
56,27546066.000000004,16188572.000000006,16198805.000000004,16138789.000000004,10061.999999999996
57,27493036.000000007,16206429.999999996,16193905.999999996,16064934.000000002,10002.000000000002
58,27547547.000000007,16152708.000000002,17037323.999999996,16303571.0,20005.000000000004
59,25215850.000000004,14726849.0,14517751.999999996,14712532.0,10051.999999999995
60,26895085.0,16064593.0,15663154.999999998,15707524.000000006,10001.000000000002
61,24175969.0,14372878.000000002,14291924.999999996,14094120.0,29868.999999999996
62,26474904.000000004,15407018.0,15564920.0,15423643.999999994,0.0
63,25442238.0,14902855.0,14816595.999999998,15061834.999999998,20108.999999999996
64,26820820.00000001,15496285.0,15777629.999999996,16366445.0,20116.000000000015
65,25977975.000000004,15452962.000000002,15292267.000000006,15304708.000000006,0.0
66,24053923.000000007,13962480.000000002,13983394.999999996,13985063.000000007,29961.999999999993
67,25979522.0,15124592.000000002,15203814.999999996,15174409.999999996,0.0
68,27032241.999999993,15984080.000000004,15800319.999999998,16003189.0,10001.999999999998
69,27505382.999999993,15913327.0,15945271.0,16123064.999999998,10001.999999999998
70,23954581.000000007,13962883.999999996,13993927.999999998,13933479.000000006,0.0
71,27948533.99999999,16281001.000000002,16176390.0,16241391.000000002,10001.999999999998
72,28373878.0,16693835.999999996,16604043.000000015,16605829.999999994,10001.999999999998
73,27946472.999999996,16623422.000000002,16593977.000000007,16573691.999999998,0.0
74,25575778.999999996,14872494.999999998,14903462.000000002,14834069.999999998,40014.00000000001
75,27646486.999999993,16043768.999999993,16163079.999999996,16123781.000000004,20002.999999999996
76,28106111.0,16312801.000000002,16436211.000000006,16422285.999999998,0.0
77,27875354.000000004,16295993.000000002,16214164.999999998,16231749.0,9893.0
78,26673333.0,15624119.0,15673919.999999994,15525296.000000002,20003.999999999996
79,29971036.000000007,17343818.999999993,17265142.000000004,17262925.999999996,19896.99999999999
80,25648583.000000004,14862542.000000004,14774871.999999998,14842462.999999998,0.0
81,27064265.999999996,15967770.999999996,15890856.999999998,15906193.000000002,30011.000000000004
82,26537967.000000004,15509311.0,15515876.999999998,15553985.0,40071.999999999985
83,25788224.0,14987652.0,14895325.000000006,14932091.0,40004.0
84,28205792.000000004,16564635.999999998,16412419.000000002,16513233.000000004,10001.999999999998
85,29301003.000000004,17173515.999999996,16976688.0,17016910.000000004,10073.999999999996
86,27803715.00000001,16314087.999999996,16126005.000000006,16188730.0,0.0
87,28928370.0,16845530.0,17273606.000000007,16906635.999999993,50181.00000000001
88,26782764.00000001,15620259.000000002,15581102.0,15534018.000000002,0.0
89,29570648.999999993,17416580.999999993,17293630.99999999,17394484.0,39597.0
90,28534932.0,16583750.000000002,16670447.0,16532493.000000002,10003.000000000002
91,26449390.000000004,15338493.999999996,15186635.000000002,15153812.999999998,20007.000000000004
92,28920834.999999996,16903444.000000007,16862219.999999996,16945127.000000004,29836.0
93,27237447.999999996,15902474.0,15824281.999999993,15952899.000000002,19829.000000000007
94,29536044.0,17303396.999999996,17294426.999999996,17304291.000000004,20007.0
95,28095784.000000007,16344321.000000006,16374185.999999998,16363171.999999994,10062.999999999998
96,26277617.000000004,15342398.0,15342953.0,15363265.999999998,30116.999999999996
97,29076355.999999993,17086329.999999996,17071659.999999996,16993675.999999996,30005.999999999996
98,26348972.000000007,15350367.000000002,15363162.999999998,15295495.000000002,10062.999999999998
99,26835168.99999999,15583795.000000002,15544527.000000006,15702996.0,10001.999999999998
100,25064839.000000004,14643146.000000002,14715976.000000002,14591806.0,19894.99999999998
101,26126245.999999993,15023362.999999998,15163915.000000002,15122567.999999996,20006.000000000004
102,26847428.000000004,15731019.000000004,15694180.000000002,15743936.999999998,0.0
103,23048326.0,13460151.0,13422774.999999998,13413131.999999996,9999.999999999998
104,26930113.0,15742189.000000002,15674236.999999994,15673912.999999996,10001.0
105,30078122.000000007,17613376.999999996,17623489.000000007,17683602.999999993,20114.000000000004
106,27875932.0,16234020.999999996,16253661.999999996,16233591.000000002,0.0
107,26397312.0,15802745.000000004,15423237.000000002,15523234.999999994,0.0
108,30696428.000000015,17845222.999999993,17772685.000000004,17814567.0,0.0
